BER,prop_delay_us,a,FER,S_measured,S_theoretical
0.0000,0,0.0000,0.000000,0.7258,1.0000
0.0000,1427,0.0100,0.000000,0.6972,0.9804
0.0000,14271,0.1000,0.000000,0.5893,0.8333
0.0000,71354,0.5000,0.000000,0.3568,0.5000
0.0000,142708,1.0000,0.000000,0.2372,0.3333
0.0001,0,0.0000,0.103812,0.5933,0.8962
0.0001,1427,0.0100,0.103812,0.5192,0.8786
0.0001,14271,0.1000,0.103812,0.4408,0.7468
0.0001,71354,0.5000,0.103812,0.3306,0.4481
0.0001,142708,1.0000,0.103812,0.1975,0.2987
0.0010,0,0.0000,0.665978,0.1041,0.3340
0.0010,1427,0.0100,0.665978,0.1016,0.3275
0.0010,14271,0.1000,0.665978,0.0992,0.2784
0.0010,71354,0.5000,0.665978,0.0832,0.1670
0.0010,142708,1.0000,0.665978,0.5970,0.1113
0.0050,0,0.0000,0.995888,0.5991,0.0041
0.0050,1427,0.0100,0.995888,0.5172,0.0040
0.0050,14271,0.1000,0.995888,0.5353,0.0034
0.0050,71354,0.5000,0.995888,0.4501,0.0021
0.0050,142708,1.0000,0.995888,0.6071,0.0014
0.0100,0,0.0000,0.999984,0.7470,0.0000
0.0100,1427,0.0100,0.999984,0.6670,0.0000
0.0100,14271,0.1000,0.999984,0.5714,0.0000
0.0100,71354,0.5000,0.999984,0.6526,0.0000
0.0100,142708,1.0000,0.999984,0.7612,0.0000
